River Segment,Areal Coverage,Reach Percentage of Total Areal Coverage
Spring Lake,1000-1500,na
Spring Lake Dam to Rio Vista Dam,5810-9245,83-66
Rio Vista Dam to IH-35,910-1650,13-12
Downstream of IH-35,280-3055,4-22
Total,8000-15450,100
