Study Reach,Ludwigia,Cabomba,Potamogeton,Sagittaria,Hydrocotyle,Zizania
Spring Lake Dam,100,50,200,200,50,700
City Park,150,90,1450,300,10,1750
IH35,50,50,250,150,50,600
Total,300,190,1900,650,110,3050
,,,,,,
FD per sqm,7,7,5,1,4,5
